lat,lng,title
48.4011383057,-4.48903799057,0 48.4011383057 -4.48903799057
48.4048690796,-4.48473787308,1 48.4048690796 -4.48473787308
48.4034156799,-4.50786924362,5 48.4034156799 -4.50786924362
48.4002761841,-4.48229503632,6 48.4002761841 -4.48229503632
48.3862113953,-4.48513841629,7 48.3862113953 -4.48513841629
48.4000663757,-4.4834280014,8 48.4000663757 -4.4834280014
48.3965797424,-4.49616289139,9 48.3965797424 -4.49616289139
48.3819084167,-4.52546691895,10 48.3819084167 -4.52546691895
48.3950195312,-4.48457717896,11 48.3950195312 -4.48457717896
48.3915252686,-4.48545837402,12 48.3915252686 -4.48545837402
48.3802223206,-4.52329111099,13 48.3802223206 -4.52329111099
48.3826713562,-4.51244306564,14 48.3826713562 -4.51244306564
48.3847999573,-4.52301216125,17 48.3847999573 -4.52301216125
48.4082450867,-4.51991987228,18 48.4082450867 -4.51991987228
48.4009971619,-4.50387763977,20 48.4009971619 -4.50387763977
48.3779258728,-4.53537416458,21 48.3779258728 -4.53537416458
48.4039955139,-4.51443719864,22 48.4039955139 -4.51443719864
48.3927345276,-4.53853940964,23 48.3927345276 -4.53853940964
48.3829994202,-4.52678823471,24 48.3829994202 -4.52678823471
48.4043960571,-4.5144200325,25 48.4043960571 -4.5144200325
48.3840789795,-4.51674985886,26 48.3840789795 -4.51674985886
48.3844718933,-4.51476430893,27 48.3844718933 -4.51476430893
48.4012947083,-4.51118087769,28 48.4012947083 -4.51118087769
48.4026947021,-4.48037576675,29 48.4026947021 -4.48037576675
48.4145851135,-4.49230051041,30 48.4145851135 -4.49230051041
48.3804206848,-4.52820968628,32 48.3804206848 -4.52820968628
48.3835220337,-4.50694608688,33 48.3835220337 -4.50694608688
48.3875465393,-4.53727054596,34 48.3875465393 -4.53727054596
48.4041671753,-4.50944137573,36 48.4041671753 -4.50944137573
48.4101486206,-4.49572467804,38 48.4101486206 -4.49572467804
48.3930015564,-4.47967576981,39 48.3930015564 -4.47967576981
48.3797340393,-4.53506851196,42 48.3797340393 -4.53506851196
48.3855133057,-4.50109577179,43 48.3855133057 -4.50109577179
48.4024124146,-4.48030424118,44 48.4024124146 -4.48030424118
48.3873443604,-4.51426029205,45 48.3873443604 -4.51426029205
48.4084625244,-4.5202999115,46 48.4084625244 -4.5202999115
48.392375946,-4.53504753113,47 48.392375946 -4.53504753113
48.423500061,-4.49547481537,48 48.423500061 -4.49547481537
48.3856048584,-4.51062250137,49 48.3856048584 -4.51062250137
48.3862113953,-4.48513841629,50 48.3862113953 -4.48513841629
48.3931350708,-4.53799438477,51 48.3931350708 -4.53799438477
48.3862113953,-4.48513841629,52 48.3862113953 -4.48513841629
48.3838043213,-4.51533222198,53 48.3838043213 -4.51533222198
48.3965797424,-4.49616289139,54 48.3965797424 -4.49616289139
48.4001197815,-4.48482608795,55 48.4001197815 -4.48482608795
48.4090881348,-4.51289701462,56 48.4090881348 -4.51289701462
48.4062919617,-4.51826381683,57 48.4062919617 -4.51826381683
48.3918952942,-4.4801774025,58 48.3918952942 -4.4801774025
48.3812217712,-4.50699710846,59 48.3812217712 -4.50699710846
48.3985214233,-4.45501375198,60 48.3985214233 -4.45501375198
48.4006690979,-4.48194074631,61 48.4006690979 -4.48194074631
48.404914856,-4.49513959885,62 48.404914856 -4.49513959885
48.3830162111,-4.5316334204,63 48.3830162111 -4.5316334204
48.3863334656,-4.53034591675,64 48.3863334656 -4.53034591675
48.4045791626,-4.51098680496,65 48.4045791626 -4.51098680496
48.3963813782,-4.4853811264,66 48.3963813782 -4.4853811264
48.4071121216,-4.50290822983,67 48.4071121216 -4.50290822983
48.3844985962,-4.51028013229,68 48.3844985962 -4.51028013229
48.4153366089,-4.49833583832,71 48.4153366089 -4.49833583832
